时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2025/09/16 18:11:51,日常账本,支出,饮品,饮料,-4.68,支付宝,,农夫山泉茶派蜜桃乌龙茶瓶装500ml*1
2025/09/16 16:57:47,日常账本,收入,转账薅钱,,7.0,支付宝,,支付宝商家服务-收款记录
2025/09/16 13:47:40,日常账本,收入,红包,,0.05,微信钱包,,Tom的红包
2025/09/16 12:34:15,日常账本,支出,餐饮,,-12.0,微信钱包,,烤鸭拌饭
2025/09/16 09:18:13,日常账本,收入,转账薅钱,,5.0,支付宝,,支付宝商家服务-收款记录
2025/09/15 19:33:17,日常账本,支出,饮品,矿泉水,-3.0,微信钱包,,农夫山泉
2025/09/15 19:31:16,日常账本,支出,餐饮,,-17.0,微信钱包,,西兰花炒牛肉
2025/09/15 12:34:13,日常账本,支出,通讯,,-150.0,微信钱包,,校园网
2025/09/15 11:43:23,日常账本,支出,饮品,矿泉水,-2.9,支付宝,,百岁山
2025/09/15 11:39:10,日常账本,支出,餐饮,,-2.0,微信钱包,,脆骨肠
2025/09/15 11:38:46,日常账本,支出,餐饮,,-13.0,微信钱包,,快餐
2025/09/15 10:33:15,日常账本,支出,住房,,-5.0,微信钱包,,洗衣服
2025/09/14 20:13:10,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/09/14 20:08:25,日常账本,支出,饮品,饮料,-5.0,微信钱包,,冰茶
2025/09/14 12:04:13,日常账本,收入,其他,签到领,0.24,支付宝,,淘宝签到提现
2025/09/13 19:09:34,日常账本,支出,餐饮,,-20.7,微信钱包,,米村拌饭 烤牛肉拌饭
2025/09/12 20:18:02,日常账本,支出,娱乐,放松,-139.0,微信钱包,,
2025/09/12 19:22:18,日常账本,支出,餐饮,,-28.0,微信钱包,,池奈 香煎鸡扒能量拌饭
2025/09/12 17:02:29,日常账本,支出,购物,,-3.09,支付宝,,买菜
2025/09/12 12:33:48,日常账本,支出,餐饮,,-15.6,微信钱包,,沙拉
2025/09/12 12:02:45,日常账本,收入,红包,,1.41,微信钱包,,嘟嘟嘟JIMILIMITADA的红包
2025/09/11 19:53:57,日常账本,支出,日用,,-4.9,支付宝,,洗衣液
2025/09/11 19:15:56,日常账本,支出,饮品,矿泉水,-3.42,支付宝,,农夫山泉
2025/09/11 19:14:50,日常账本,支出,餐饮,,-3.0,微信钱包,,水煮蛋
2025/09/11 18:00:26,日常账本,支出,餐饮,,-17.4,微信钱包,,沙拉
2025/09/11 13:03:51,日常账本,支出,餐饮,,-12.48,微信钱包,,称重快餐
2025/09/11 12:17:12,日常账本,支出,住房,电费,-12.5,微信钱包,,学校电费
2025/09/11 10:14:10,日常账本,支出,游戏,,-6.0,微信钱包,,60点券*1(为2**933购买)
2025/09/11 10:12:55,日常账本,支出,游戏,,-6.0,微信钱包,,微信转账到QQ
2025/09/10 18:32:37,日常账本,支出,餐饮,,-13.8,微信钱包,,沙拉
2025/09/10 13:02:09,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/09/09 21:22:05,日常账本,支出,饮品,矿泉水,-3.34,支付宝,,农夫山泉
2025/09/09 21:03:47,日常账本,支出,住房,水费,-20.0,支付宝,,水卡
2025/09/09 18:15:46,日常账本,支出,餐饮,,-13.27,微信钱包,,称重快餐
2025/09/09 13:06:19,日常账本,收入,红包,,0.01,微信钱包,,Aa马有钱的红包
2025/09/09 12:58:49,日常账本,支出,餐饮,,-15.4,微信钱包,,沙拉
2025/09/08 19:11:23,日常账本,支出,餐饮,,-13.2,微信钱包,,麻辣拌
2025/09/08 11:58:55,日常账本,支出,餐饮,,-3.0,微信钱包,,水煮蛋
2025/09/08 11:44:30,日常账本,支出,餐饮,,-12.32,微信钱包,,称重快餐
2025/09/07 23:28:14,日常账本,支出,通讯,,-2.0,支付宝,,阿里云续费
2025/09/07 20:06:31,日常账本,支出,饮品,矿泉水,-7.0,微信钱包,,百岁山和两升农夫山泉
2025/09/07 19:56:32,日常账本,支出,餐饮,,-3.0,微信钱包,,水煮蛋
2025/09/07 19:42:13,日常账本,支出,餐饮,,-11.69,微信钱包,,称重快餐
2025/09/07 11:57:15,日常账本,支出,服饰,鞋,-148.99,微信钱包,,361防雨通勤鞋
2025/09/06 21:23:58,日常账本,支出,购物,,-4.01,中信银行,,七号电池
2025/09/06 21:23:29,日常账本,支出,买药,,-28.36,中信银行,,复合维生素
2025/09/06 18:03:39,日常账本,支出,餐饮,,-18.9,微信钱包,,米村拌饭
2025/09/06 00:34:48,日常账本,支出,住房,电费,-12.5,微信钱包,,学校电费
2025/09/05 15:28:40,日常账本,支出,游戏,,-6.0,微信钱包,,微信转账到QQ
2025/09/05 13:20:54,日常账本,支出,餐饮,,-4.0,微信钱包,,包子
2025/09/05 13:07:24,日常账本,支出,餐饮,,-9.95,微信钱包,,称重快餐
2025/09/04 21:02:00,日常账本,支出,零食,,-4.0,微信钱包,,旺旺小小酥
2025/09/04 18:20:10,日常账本,支出,零食,,-2.0,微信钱包,,脆骨肠
2025/09/04 18:04:18,日常账本,支出,餐饮,,-9.32,微信钱包,,称重快餐
2025/09/04 11:55:06,日常账本,支出,零食,,-2.0,微信钱包,,玉米肠
2025/09/04 11:40:55,日常账本,支出,餐饮,,-13.0,微信钱包,,白斩鸡饭
2025/09/03 18:28:36,日常账本,支出,饮品,矿泉水,-6.0,微信钱包,,百岁山和农夫山泉
2025/09/03 18:08:19,日常账本,支出,餐饮,,-17.4,微信钱包,,冒菜
2025/09/03 13:26:07,日常账本,收入,其他,扫码领,0.5,微信钱包,,农夫山泉冰茶开盖有奖微信红包
2025/09/03 12:57:34,日常账本,支出,饮品,饮料,-5.0,微信钱包,,冰茶
2025/09/03 12:43:14,日常账本,支出,餐饮,,-11.0,微信钱包,,木桶饭
2025/09/02 18:49:39,日常账本,支出,餐饮,,-23.9,微信钱包,,塔斯汀
2025/09/02 13:46:26,日常账本,支出,饮品,矿泉水,-2.0,微信钱包,,农夫山泉
2025/09/02 13:44:34,日常账本,支出,餐饮,,-18.0,微信钱包,,炒菜葱爆肉卷
2025/09/01 18:26:32,日常账本,支出,餐饮,,-12.0,微信钱包,,民族脆鸡饭
2025/09/01 18:25:20,日常账本,支出,日用,,-9.9,微信钱包,,洗脸巾
2025/09/01 17:07:57,日常账本,收入,A钱,,12.5,微信钱包,,微信转账
2025/09/01 13:21:19,日常账本,支出,饮品,,-3.0,微信钱包,,百岁山
2025/09/01 13:19:56,日常账本,支出,餐饮,,-14.0,微信钱包,,炒菜
2025/08/31 21:09:08,日常账本,收入,A钱,,33.0,微信钱包,,微信转账
2025/08/31 21:09:04,日常账本,收入,A钱,,33.0,微信钱包,,微信转账
