时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2024/12/13 15:43:20,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/13 15:32:28,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/13 14:48:09,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/13 14:24:48,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/13 14:14:12,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/13 13:32:46,日常账本,支出,餐饮,,-25.6,支付宝,,塔斯汀中国汉堡(咸宁东路店)
2024/12/13 09:04:29,日常账本,支出,餐饮,,-3.5,微信钱包,,早餐
2024/12/12 20:03:01,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/12 19:28:39,日常账本,支出,餐饮,,-2.0,微信钱包,,西安培华学院
2024/12/12 19:27:48,日常账本,支出,零食,,-2.5,支付宝,,酸奶
2024/12/12 19:09:27,日常账本,支出,餐饮,,-18.0,微信钱包,,大块牛肉饭
2024/12/12 14:35:17,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/12 12:36:41,日常账本,支出,饮品,,-3.5,微信钱包,,中粮智尚自贩机
2024/12/12 12:26:58,日常账本,支出,餐饮,,-2.0,微信钱包,,玉米肠
2024/12/12 12:14:13,日常账本,支出,餐饮,,-15.0,微信钱包,,叉烧饭
2024/12/12 09:04:23,日常账本,支出,餐饮,,-4.0,微信钱包,,早餐
2024/12/11 19:45:52,日常账本,支出,其它,,-1.5,微信钱包,,西安市长安区双鱼复印部
2024/12/11 19:42:10,日常账本,支出,水果捞,,-15.3,微信钱包,,商户_张春燕
2024/12/11 19:30:53,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/11 19:09:45,日常账本,支出,餐饮,,-14.94,微信钱包,,冒菜
2024/12/11 18:14:46,日常账本,收入,火影租号,,11.6,微信钱包,,
2024/12/11 11:44:25,日常账本,支出,日用,,-1.0,微信钱包,,小包纸
2024/12/11 11:31:00,日常账本,支出,餐饮,,-10.0,微信钱包,,炒细面
2024/12/10 19:06:46,日常账本,支出,餐饮,,-1.5,微信钱包,,吃饭
2024/12/10 19:05:42,日常账本,支出,餐饮,,-17.67,微信钱包,,鸡公煲
2024/12/10 17:20:49,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/10 13:08:32,日常账本,支出,餐饮,,-11.5,微信钱包,,牛肉粉丝骨汤
2024/12/10 10:30:34,日常账本,支出,其它,,-0.01,微信钱包,,心之易活动
2024/12/10 09:07:53,日常账本,支出,购物,,-2.5,微信钱包,,培华信纸
2024/12/10 09:06:34,日常账本,支出,餐饮,,-4.0,微信钱包,,早餐
2024/12/10 07:31:10,日常账本,支出,其它,,-20.0,微信钱包,,水卡
2024/12/09 19:54:18,日常账本,支出,零食,,-20.0,支付宝,,2000332168613161
2024/12/09 19:40:36,日常账本,支出,餐饮,,-2.0,微信钱包,,红肠
2024/12/09 19:19:05,日常账本,支出,餐饮,,-16.0,微信钱包,,肥肠面
2024/12/09 13:21:42,日常账本,转账,转账,,-500.0,中信银行,,中信银行>微信钱包
2024/12/09 13:21:42,日常账本,转账,转账,,500.0,微信钱包,,中信银行>微信钱包
2024/12/09 12:57:01,日常账本,支出,饮品,,-5.5,支付宝,,学子超市
2024/12/09 12:38:59,日常账本,支出,餐饮,,-13.0,微信钱包,,广味腊肠饭
2024/12/09 12:24:21,日常账本,支出,游戏,,-6.0,微信钱包,,深圳市腾讯天游科技有限公司
2024/12/09 11:04:03,日常账本,支出,其它,,-0.01,微信钱包,,软件测试
2024/12/09 10:02:50,日常账本,支出,餐饮,,-11.5,微信钱包,,关东煮和肉肠
2024/12/08 18:55:38,日常账本,支出,餐饮,,-25.9,支付宝,,塔斯汀中国汉堡(咸宁东路店)
2024/12/08 12:18:46,日常账本,支出,其它,,-2.34,支付宝,,测试支付宝扫红包
2024/12/08 10:37:29,日常账本,转账,转账,,-1000.0,中信银行,,中信银行>微信钱包
2024/12/08 10:37:29,日常账本,转账,转账,,1000.0,微信钱包,,中信银行>微信钱包
2024/12/08 10:12:28,日常账本,支出,购物,,-39.8,微信钱包,,保暖衣
2024/12/08 10:10:30,日常账本,支出,餐饮,,-5.5,微信钱包,,放心早餐
2024/12/07 20:38:17,日常账本,支出,餐饮,,-32.9,中信银行,,塔斯汀中国汉堡(咸宁东路店)
2024/12/07 19:57:24,日常账本,支出,交通,公交地铁,-100.0,微信钱包,,公交卡
2024/12/07 15:55:58,日常账本,支出,其它,,-227.9,中信银行,,烫头
2024/12/07 12:25:04,日常账本,收入,其他,,0.98,中信银行,,抖音刷视频红包
2024/12/07 11:33:10,日常账本,收入,工资,,3780.0,中信银行,,
2024/12/07 09:58:44,日常账本,支出,餐饮,,-5.0,微信钱包,,宫廷香酥牛肉饼
2024/12/06 16:45:23,日常账本,收入,其他,,99.0,支付宝,,流量卡
2024/12/06 16:45:23,日常账本,收入,其他,,9.0,支付宝,,流量卡
2024/12/06 15:18:58,日常账本,支出,其它,,-0.01,微信钱包,,测试软件
2024/12/06 14:44:04,日常账本,支出,其它,,-0.01,微信钱包,,测试软件
2024/12/06 14:02:29,日常账本,支出,其它,,-0.01,微信钱包,,测试程序
2024/12/06 12:42:06,日常账本,收入,红包,,11.5,微信钱包,,F-小舅的红包
2024/12/06 12:42:00,日常账本,收入,红包,,2.11,微信钱包,,王家玉,18955772388的红包
2024/12/06 12:41:35,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2024/12/06 12:20:55,日常账本,支出,餐饮,,-15.0,微信钱包,,炸鸡咖喱
2024/12/06 09:03:45,日常账本,支出,餐饮,,-4.0,微信钱包,,早餐
2024/12/05 23:14:12,日常账本,支出,游戏,,-6.0,微信钱包,,深圳市腾讯天游科技有限公司
2024/12/05 18:15:57,日常账本,支出,餐饮,,-2.0,微信钱包,,红肠
2024/12/05 17:59:06,日常账本,支出,餐饮,,-13.0,支付宝,,木桶饭
2024/12/05 12:13:42,日常账本,支出,餐饮,,-13.0,微信钱包,,黄焖鸡
2024/12/05 09:03:34,日常账本,支出,餐饮,,-4.0,微信钱包,,早餐
2024/12/04 18:33:57,日常账本,支出,饮品,,-2.5,支付宝,,学子超市
2024/12/04 18:30:55,日常账本,支出,水果捞,,-14.7,微信钱包,,商户_张春燕
2024/12/04 18:15:14,日常账本,支出,餐饮,,-15.0,微信钱包,,叉烧饭
2024/12/04 16:34:35,日常账本,收入,火影租号,,28.3,微信钱包,,
2024/12/04 12:59:21,日常账本,支出,购物,,-12.8,支付宝,,蛋挞液蛋挞皮
2024/12/04 12:48:09,日常账本,支出,其它,,-0.4,微信钱包,,西安市长安区双鱼复印部
2024/12/04 12:33:14,日常账本,支出,餐饮,,-15.0,微信钱包,,炸鸡咖喱
2024/12/04 10:00:41,日常账本,支出,餐饮,,-5.0,微信钱包,,麦香馅饼
2024/12/03 18:34:22,日常账本,支出,餐饮,,-2.0,微信钱包,,玉米肠
2024/12/03 18:13:37,日常账本,支出,其它,,-353.76,微信钱包,,书费
2024/12/03 18:13:13,日常账本,支出,餐饮,,-13.0,微信钱包,,黄焖鸡
2024/12/03 13:44:48,日常账本,支出,其它,,-1.2,微信钱包,,留白打印
2024/12/03 12:01:10,日常账本,收入,咸鱼收入,,1.0,支付宝,,Go开发工程师全套资料，项目源码+视频教程，入门到高级全覆盖
2024/12/03 10:14:04,日常账本,支出,饮品,,-5.5,支付宝,,学子超市
2024/12/03 10:10:56,日常账本,支出,餐饮,,-15.5,微信钱包,,叉烧饭
2024/12/02 21:45:41,日常账本,支出,饮品,,-17.39,中信银行,,百岁山
2024/12/02 19:39:15,日常账本,支出,零食,,-5.2,微信钱包,,糕点
2024/12/02 19:11:44,日常账本,支出,餐饮,,-17.0,微信钱包,,螺蛳粉
2024/12/02 15:26:09,日常账本,收入,其他,,99.0,支付宝,,流量卡
